ISO3,Rate1990,Rate1991,Rate1992,Rate1993,Rate1994,Rate1995,Rate1996,Rate1997,Rate1998,Rate1999,Rate2000,Rate2001,Rate2002,Rate2003,Rate2004,Rate2005,Rate2006,Rate2007,Rate2008,Rate2009,Rate2010,Rate2011,Rate2012,Rate2013,Rate2014,Rate2015,Rate2016,Rate2017
BHS,3.321763752049281,3.2634269708474397,3.262707366490614,3.34026911899637,3.3248386671980255,3.342973977833972,3.316569937662655,3.2785034757750484,3.2743908296515793,3.2661726540617697,3.195061501216491,3.1066896212036004,2.9977819846294373,2.9863679081193255,2.957948741066126,2.916657054377502,2.951952380632327,2.9602685578587566,3.010864343147799,3.04882902544175,3.083000976189594,3.122921913704676,3.1308917700851886,3.1193034188201745,3.156458365046876,3.1618598384902312,3.16952292011007,3.1722992298635755
BHR,5.675713459641392,5.864096116711917,6.057594823113318,6.172367926288265,6.256641634323049,6.393950887286225,6.35172409441656,6.051590797989738,6.387204659258865,6.870170987242141,7.190974939851082,7.451074925384376,7.557238059528578,7.721511637899628,7.939496227490944,7.779529750759095,7.290588225193559,6.881515457775817,6.389655385911236,5.838648102857168,5.303096423090032,4.932405538523091,4.729990739492225,4.436463463339525,4.272502953999336,4.268414685814541,4.249785573974734,4.227149675562664
BGD,10.505768505683417,9.949074455447098,10.089162013668648,10.060545086110595,9.807081572648135,9.844958249928029,9.471700333734432,8.95357036385298,8.63107941228567,8.247317258640496,7.882312369154253,7.636250190000855,7.413375769602586,7.177900381858758,7.205384677587009,7.324500051138055,7.505359968664716,7.64655253990529,7.63814228025658,7.462348219808775,7.482376863212544,7.061707729165535,6.732162248145104,6.487200279335262,6.427481479852913,6.217116213282447,6.040776809287505,6.032121179318565
BRB,4.842380030961357,4.96544198441119,4.99748393939715,5.08541484838301,5.082549937304663,5.071491867482812,5.036273771298542,4.90167431170719,4.809406127534605,4.663757827501436,4.538947050804444,4.395257597081092,4.454249102907492,4.491566111348408,4.479656764719902,4.401617241637073,4.322654578634522,4.200245085691409,4.193634255249551,4.128722064205764,4.1116971820652,4.029115873453941,3.946698031984255,3.9530202329366535,3.9351246306471106,3.9529142666765296,3.958051006422497,3.9742716215229006
BLR,20.332664859158392,21.534119106543788,23.460101954468165,27.09170325758683,28.619200995621153,30.839120746330856,31.400360645669544,32.879363937927515,34.570397303268244,35.52301644134946,33.72758036911009,35.05511370217409,36.953627523511585,35.73983409240123,34.536258068681065,35.077728403286116,33.11092188053447,30.363819318537427,30.480325428107257,29.89694256825393,29.21760042468365,29.242689601127253,24.281145700276127,22.566442140920422,21.095539973217697,19.585320299204454,18.854178878344445,19.03487290650899
BEL,17.604614312431373,17.601632091160184,18.13595646640725,18.618101126695745,18.960289515402295,19.021236934855654,18.66265208689551,18.64058746771625,18.22462497171185,18.123920182784943,18.497711461946643,18.221018324782804,17.774766049333657,17.299094139943982,16.58430966352355,16.432605134930633,15.94727139889796,16.17433814240071,16.431435444633692,16.32775019988589,16.173554846381023,16.322367893845325,16.105321142384696,15.629296788064764,15.070784242938355,14.909187057337196,14.422614984832611,14.275318768978694
BLZ,6.114596983520185,6.401573500494306,6.739116687360295,6.971630454759055,7.109899223891617,7.596976892882901,8.101651013895966,8.53849454972706,8.919157007530918,9.16201775461874,9.048532504346785,8.915739415667652,8.546257748429124,8.371474286555072,8.260771318403076,8.010595423672411,7.774409800250355,7.590517845034406,7.480914671869357,7.463918744268998,7.489032685660207,7.614991762882551,7.510386109390344,7.484311897309873,7.4246516787673444,7.526193195147982,7.784886233484072,7.832833879731758
BEN,10.44941136184757,10.68174454325764,10.85090190441451,10.98770325856244,11.290832160352522,11.556601742113472,11.834516841117194,11.965366554081012,12.06909016278655,12.158857963258226,12.260017597639711,12.281901618801378,12.293845401441708,12.207447991572762,12.100156526803568,11.96787492773692,11.89261521283665,11.80092142079978,11.733351769921756,11.68465100547876,11.690771120068897,11.714024025438311,11.747866114317317,11.666196617177974,11.53343465841881,11.383383065052708,11.234851155325906,11.137863321642245
BMU,5.75412446412853,5.662361087756349,5.5497450886389785,5.395408174170497,5.1738544675984,4.945394771605777,4.744029533871057,4.563589178741003,4.4462501339619855,4.279868627942763,4.09674442971577,3.9603645192623143,3.858001917047938,3.8110704283943697,3.761269828929701,3.724056419460874,3.674925681343478,3.634379870231024,3.630524273691199,3.619929531786308,3.62665441174294,3.5758057790419224,3.5828761617150455,3.58295293070081,3.5059364803554156,3.4674612086155463,3.449199951445577,3.4284433373722014
BTN,8.530198482426995,8.38232512664437,8.283371875780889,8.26595167445368,8.142227308782005,7.978448479127915,7.689959561029707,7.6004295504315245,7.438830883581185,7.210366726230483,7.1333721211522905,6.962672206238554,6.793899639888221,6.718548295040109,6.6090327000845415,6.545564201691068,6.443719560184087,6.369431685036158,6.283661739209389,6.195509796148846,6.111584124442694,6.050095773539068,5.995023632694973,5.944346872329549,5.892241137710404,5.837235718148275,5.784970547800259,5.7177993656393475
BOL,8.125782406455857,8.21567216711182,8.209778850243772,8.28302018924732,8.257633068918409,8.333396313517126,8.261540134158743,8.340147180324399,8.31660097110248,8.27623103115224,8.171102011153648,7.997725363253659,7.941279143135718,7.794260695101834,7.650739088639899,7.442831755484434,7.333737387908956,7.271032685346988,7.155540549975267,7.0635331135524995,6.9661351850068,6.85058652058253,6.736757507947763,6.640963112404266,6.544666330315894,6.4903743617884455,6.445286497463929,6.410848412431798
BIH,9.988802511036075,11.075263121106715,11.52585467080998,11.67691459610706,11.59057829171558,11.26480967849238,10.650162549527169,9.951285305707154,9.187613357973197,9.000091355638967,8.694873322518317,8.259431463528887,7.8326943678202365,7.363201227168241,6.900051559546232,6.920025350939487,6.684984699642647,6.917077532295037,6.547736151052146,6.314112431237892,6.11230274166052,5.961875814125159,6.233897371869847,6.632646979224703,7.00726837805586,7.002741071424037,6.933259918807785,6.847151392935528
BWA,15.841180766442069,15.757113155099589,15.66551840746637,15.479363382874558,15.243423282418508,14.93467104755076,14.37170096919265,13.85926757705294,13.468505343986909,13.157956190152731,13.08186903981928,13.073688485983247,13.083006419876966,13.071582967868675,12.830664845361046,12.304054374807116,11.768464872694242,10.86191320187424,10.925237391691422,10.913319954386576,10.818927646600038,10.786223211771718,10.593727234736471,10.48915983975525,10.423718571549191,10.326023308021847,10.120453310880238,10.007560640926409
BRA,7.163659192857634,6.982007219654457,6.924994961459144,6.969796863922693,6.893827651688501,6.782821400735728,6.664835410232562,6.561067042193177,6.507215912992083,6.370994679172141,6.331652424033047,6.318188170910688,6.2727344949278665,6.266385207219414,6.246677176137778,6.173933402951278,6.063731799991024,6.025634859924798,6.007047991530542,6.013116893750151,5.968093623082166,6.015857697583264,6.051261688718526,6.033516729547021,5.996477591754446,5.9798261606418714,6.0700501938100775,6.089304369940514
BRN,4.448610238210399,4.368281973506544,4.252321652392785,4.114453047417964,4.031928288590678,3.887113690181184,3.764984687216619,3.7566218126072286,3.840899259639572,3.8702000356036614,3.9742806948723097,4.1193716120433725,4.325188624873233,4.541743656138797,4.737013679446409,4.921742949941288,5.077791993280132,5.256604639055454,5.405421715147686,5.582966182272107,5.720005030209065,5.839718261800191,5.950597039011009,6.049181635918098,6.0915695994546,6.09852828763138,6.123049516585154,6.2249635350928845
BGR,14.766111831314571,14.762143392694073,15.757473584045064,16.17743268066576,16.957084319610818,16.976908093258974,16.968140902003842,17.49215572546529,16.932795402235577,15.66134480440056,15.529749260491831,14.793822244845192,13.990511942468183,13.054736130476249,12.371627743851372,11.812417649893913,11.417546846136483,10.858903147154884,10.550661362879582,10.124328855259115,9.765582461187906,9.495240021106408,9.208980167933449,8.961946892767717,9.271611188938133,9.24062290038697,9.373283872294191,9.480819739050064
